Date,Price,Open,High,Low,index,Change %
6/27/2012,1574.3,1572.5,1581.91,1563.15,2985,0.14%
6/28/2012,1551.9,1573.61,1579.31,1547.85,2984,-1.42%
6/29/2012,1598.6,1551.39,1607.19,1550.94,2983,3.01%
7/2/2012,1596.35,1599.3,1602.51,1587.45,2982,-0.14%
7/3/2012,1616.65,1598.69,1626.7,1596.59,2981,1.27%
7/4/2012,1615.63,1617.24,1620.59,1611.94,2980,-0.06%
7/5/2012,1604.75,1617.34,1625.8,1598.89,2979,-0.67%
7/6/2012,1582.9,1604.95,1610,1576.7,2978,-1.36%
7/9/2012,1587.15,1580.84,1593.3,1576.39,2977,0.27%
7/10/2012,1566.5,1591.16,1602.9,1565.89,2976,-1.30%
7/11/2012,1576.9,1565.41,1583.41,1565.41,2975,0.66%
7/12/2012,1572.4,1576.85,1578.36,1554.95,2974,-0.29%
7/13/2012,1589.05,1571.2,1597.11,1566.25,2973,1.06%
7/16/2012,1589.35,1591.39,1595.3,1578.79,2972,0.02%
7/17/2012,1582.75,1591.19,1600.5,1572.66,2971,-0.42%
7/18/2012,1573.8,1584.29,1587.16,1568.84,2970,-0.57%
7/19/2012,1582.05,1573.89,1593,1573.64,2969,0.52%
7/20/2012,1583.63,1582.01,1587.91,1574.04,2968,0.10%
7/23/2012,1576.9,1582.64,1584.26,1564.49,2967,-0.42%
7/24/2012,1580.5,1580.4,1584.66,1568.35,2966,0.23%
7/25/2012,1605.38,1581.44,1611.41,1579.94,2965,1.57%
7/26/2012,1616.2,1605,1622.02,1601.5,2964,0.67%
7/27/2012,1623.28,1616.14,1629.6,1611.99,2963,0.44%
7/30/2012,1621.1,1625.1,1626.7,1614.85,2962,-0.13%
7/31/2012,1613.9,1621.3,1628.31,1610.95,2961,-0.44%
8/1/2012,1599.2,1599.25,1618.9,1592.35,2960,-0.91%
8/2/2012,1590.35,1599.25,1614.9,1585.1,2959,-0.55%
8/3/2012,1604.3,1590.28,1606.91,1586.74,2958,0.88%
8/6/2012,1611,1605,1615.61,1602.85,2957,0.42%
8/7/2012,1611.18,1610.99,1618.41,1609.09,2956,0.01%
8/8/2012,1611.9,1611.29,1617.01,1603.55,2955,0.04%
8/9/2012,1617.7,1612.1,1618.72,1609.85,2954,0.36%
8/10/2012,1620.05,1617.64,1626.56,1605.7,2953,0.15%
8/13/2012,1610.15,1620.35,1625.82,1607.71,2952,-0.61%
8/14/2012,1598.65,1610.16,1616.81,1594.71,2951,-0.71%
8/15/2012,1603.38,1598.64,1606.4,1590.19,2950,0.30%
8/16/2012,1614.8,1604.14,1618.99,1600.79,2949,0.71%
8/17/2012,1615.8,1614.44,1620.1,1611.9,2948,0.06%
8/20/2012,1620.7,1616.26,1623.01,1610.2,2947,0.30%
8/21/2012,1638.5,1620.55,1641.81,1618.66,2946,1.10%
8/22/2012,1654,1638.2,1656.41,1634.87,2945,0.95%
8/23/2012,1670.65,1654,1675.41,1652.41,2944,1.01%
8/24/2012,1670.35,1670.14,1673.81,1662.79,2943,-0.02%
8/27/2012,1664.1,1671.44,1676.95,1663.09,2942,-0.37%
8/28/2012,1667.03,1663.44,1672.7,1657.44,2941,0.18%
8/29/2012,1656.55,1667.25,1670.15,1652.97,2940,-0.63%
8/30/2012,1656.15,1656.55,1664.51,1651.8,2939,-0.02%
8/31/2012,1691.15,1656.15,1693.32,1647.34,2938,2.11%
9/3/2012,1692.4,1692.2,1695.61,1685.7,2937,0.07%
9/4/2012,1696.4,1692.99,1700.45,1689.96,2936,0.24%
9/5/2012,1693.65,1695.05,1696.37,1687.65,2935,-0.16%
9/6/2012,1701.65,1693.45,1713.52,1691.65,2934,0.47%
9/7/2012,1736.5,1701.94,1741.8,1689.2,2933,2.05%
9/10/2012,1725.8,1735.85,1740.26,1724.91,2932,-0.62%
9/11/2012,1731.75,1726.1,1737.91,1725.45,2931,0.34%
9/12/2012,1731.5,1732.54,1746.7,1725.79,2930,-0.01%
9/13/2012,1766.9,1730.65,1772.87,1717.25,2929,2.04%
9/14/2012,1772.48,1766.44,1778.01,1765.04,2928,0.32%
9/17/2012,1761.45,1774.74,1776.76,1754.59,2927,-0.62%
9/18/2012,1770.95,1761.55,1773.61,1752.95,2926,0.54%
9/19/2012,1769.8,1769.85,1768.35,1765.65,2925,-0.06%
9/20/2012,1766.7,1769.85,1772.5,1756.1,2924,-0.18%
9/21/2012,1773.05,1767.3,1787.81,1766.4,2923,0.36%
9/24/2012,1764.15,1773.39,1773.39,1755.8,2922,-0.50%
9/25/2012,1760.65,1764.26,1775.51,1758.41,2921,-0.20%
9/26/2012,1752.2,1760.5,1766.01,1738.11,2920,-0.48%
9/27/2012,1777.9,1754.9,1780.81,1751.36,2919,1.47%
9/28/2012,1771.22,1777.72,1783.63,1767.53,2918,-0.38%
10/1/2012,1774.4,1771.2,1791.81,1763.55,2917,0.18%
10/2/2012,1778,1776.4,1784.81,1771.57,2916,0.20%
10/3/2012,1779.15,1774.1,1782.31,1771,2915,0.06%
10/4/2012,1790.55,1779.19,1796.9,1779.19,2914,0.64%
10/5/2012,1780.98,1790.79,1796.19,1772.84,2913,-0.53%
10/8/2012,1774.9,1780.71,1780.9,1766.75,2912,-0.34%
10/9/2012,1764.15,1775.45,1779.96,1760.55,2911,-0.61%
10/10/2012,1762.55,1764.26,1768.41,1757.47,2910,-0.09%
10/11/2012,1768.8,1761.8,1775.31,1758.7,2909,0.35%
10/12/2012,1754.25,1768.79,1773.6,1752.34,2908,-0.82%
10/15/2012,1736.1,1753.6,1753.6,1729.36,2907,-1.03%
